1,11/9/2018,01:15 PM,00:30:00,00:45:00,00:00:00,00:00:00,01:00:00,1,09:00 PM,07:45:00,05:30:00,02:15:00
2,12/9/2018,02:00 PM,00:33:00,02:00:00,00:00:00,00:00:00,00:38:00,1,08:00 PM,06:00:00,02:49:00,03:11:00
3,13/9/2018,02:00 PM,00:23:00,00:29:00,00:17:00,00:00:00,01:29:00,1,09:00 PM,07:00:00,04:22:00,02:38:00
4,14/9/2018,02:10 PM,00:35:00,00:00:00,01:46:00,00:00:00,02:00:00,1,09:00 PM,06:50:00,02:29:00,04:21:00
5,15/9/2018,06:00 AM,00:00:00,02:56:00,01:27:00,00:00:00,00:34:00,0,11:00 PM,17:00:00,12:03:00,04:57:00
6,16/9/2018,05:36 AM,02:45:00,01:47:00,01:33:00,00:00:00,00:35:00,0,09:45 PM,16:09:00,09:29:00,06:40:00
7,17/9/2018,07:35 AM,02:32:00,03:10:00,01:43:00,00:00:00,00:00:00,0,08:30 PM,12:55:00,05:30:00,07:25:00
8,18/9/2018,02:00 PM,01:26:00,02:25:00,00:00:00,00:00:00,00:00:00,1,09:00 PM,07:00:00,03:09:00,03:51:00
9,19/9/2018,02:00 PM,01:09:00,00:24:00,04:00:00,00:00:00,00:00:00,1,09:00 PM,07:00:00,01:27:00,05:33:00
10,20/9/2018,02:00 PM,01:16:00,01:24:00,01:54:00,00:00:00,00:00:00,1,09:00 PM,07:00:00,02:26:00,04:34:00
11,21/9/2018,02:00 PM,01:43:00,02:25:00,00:42:00,00:00:00,00:00:00,1,09:00 PM,07:00:00,02:10:00,04:50:00
12,22/9/2018,02:00 PM,00:00:00,01:47:00,00:00:00,00:00:00,00:00:00,1,09:50 PM,07:50:00,06:03:00,01:47:00
13,23/9/2018,05:00 AM,01:47:00,01:23:00,00:00:00,00:00:00,00:00:00,0,10:50 PM,17:50:00,14:40:00,03:10:00
14,24/9/2018,06:00 AM,00:08:00,06:21:00,00:25:00,00:00:00,00:00:00,0,10:00 PM,16:00:00,09:06:00,06:54:00
15,25/9/2018,06:30 AM,00:43:00,02:26:00,00:00:00,00:00:00,00:00:00,0,11:30 PM,17:00:00,13:51:00,03:09:00
16,26/9/2018,09:00 AM,02:05:00,02:15:00,00:00:00,00:00:00,00:00:00,0,09:00 PM,12:00:00,07:40:00,04:20:00
17,27/9/2018,02:00 PM,01:24:00,01:42:00,00:20:00,00:00:00,00:00:00,1,08:20 PM,06:20:00,02:54:00,03:26:00
18,28/9/2018,02:00 PM,00:50:00,02:47:00,00:00:00,00:00:00,00:00:00,1,08:30 PM,06:30:00,02:53:00,03:37:00
19,29/9/2018,02:00 PM,00:30:00,01:02:00,01:41:00,00:00:00,00:00:00,1,09:40 PM,07:40:00,04:27:00,03:13:00
20,30/9/2018,09:00 AM,04:15:00,02:14:00,02:57:00,00:00:00,00:00:00,0,09:30 PM,12:30:00,03:04:00,09:26:00
21,1/10/2018,02:00 PM,01:04:00,00:00:00,02:55:00,00:00:00,00:00:00,1,09:30 PM,07:30:00,03:31:00,03:59:00
22,2/10/2018,02:00 PM,01:08:00,00:00:00,03:03:00,00:00:00,00:00:00,1,09:30 PM,07:30:00,03:19:00,04:11:00
23,3/10/2018,02:00 PM,00:51:00,01:24:00,00:00:00,00:00:00,00:00:00,1,09:30 PM,07:30:00,05:15:00,02:15:00
24,4/10/2018,02:00 PM,01:14:00,01:06:00,02:00:00,00:20:00,00:15:00,1,09:30 PM,07:30:00,02:35:00,04:55:00
25,5/10/2018,02:00 PM,01:35:00,00:00:00,00:00:00,00:00:00,00:00:00,1,10:00 PM,08:00:00,06:25:00,01:35:00
26,6/10/2018,05:30 AM,01:11:00,00:00:00,00:00:00,00:00:00,04:21:00,0,09:45 PM,16:15:00,10:43:00,05:32:00
27,7/10/2018,06:30 AM,00:45:00,00:00:00,02:17:00,00:00:00,00:20:00,0,09:30 PM,15:00:00,11:38:00,03:22:00
28,8/10/2018,02:05 PM,01:14:00,00:00:00,00:00:00,00:00:00,01:10:00,1,09:00 PM,06:55:00,04:31:00,02:24:00
29,9/10/2018,02:00 PM,01:15:00,00:00:00,02:24:00,00:25:00,00:25:00,1,09:00 PM,07:00:00,02:31:00,04:29:00
30,10/10/2018,02:00 PM,01:15:00,00:00:00,00:35:00,00:00:00,01:45:00,1,09:00 PM,07:00:00,03:25:00,03:35:00
31,11/10/2018,02:00 PM,01:08:00,00:00:00,05:05:00,00:00:00,00:21:00,1,09:00 PM,07:00:00,00:26:00,06:34:00
32,12/10/2018,02:15 PM,00:00:00,00:00:00,03:20:00,00:00:00,03:00:00,1,11:20 PM,09:05:00,02:45:00,06:20:00
33,13/10/2018,07:00 AM,03:35:00,00:00:00,01:45:00,00:30:00,01:10:00,0,11:20 PM,16:20:00,09:20:00,07:00:00
34,14/10/2018,08:30 AM,00:30:00,00:00:00,03:46:00,00:20:00,04:15:00,0,08:30 PM,12:00:00,03:09:00,08:51:00
35,15/10/2018,02:00 PM,01:28:00,00:00:00,02:57:00,00:00:00,00:45:00,1,09:00 PM,07:00:00,01:50:00,05:10:00
36,16/10/2018,02:00 PM,01:16:00,00:10:00,03:23:00,00:00:00,00:30:00,1,08:30 PM,06:30:00,01:11:00,05:19:00
37,17/10/2018,02:00 PM,01:27:00,00:00:00,02:11:00,00:00:00,00:46:00,1,09:30 PM,07:30:00,03:06:00,04:24:00
38,18/10/2018,02:00 PM,01:28:00,00:00:00,02:39:00,00:00:00,00:46:00,1,08:30 PM,06:30:00,01:37:00,04:53:00
39,19/10/2018,02:00 PM,00:00:00,00:00:00,07:03:00,00:00:00,00:00:00,1,10:30 PM,08:30:00,01:27:00,07:03:00
40,20/10/2018,07:00 AM,01:24:00,00:00:00,11:30:00,00:00:00,02:15:00,0,11:59 PM,16:59:00,01:50:00,15:09:00
41,21/10/2018,06:55 AM,00:00:00,03:47:00,04:32:00,00:00:00,03:00:00,0,08:30 PM,13:35:00,02:16:00,11:19:00
42,22/10/2018,02:00 PM,02:03:00,04:00:00,00:00:00,00:00:00,00:00:00,1,08:30 PM,06:30:00,00:27:00,06:03:00
43,23/10/2018,02:15 PM,00:52:00,00:00:00,03:38:00,00:00:00,00:00:00,1,08:55 PM,06:40:00,02:10:00,04:30:00
